"Ac-No","Name","sTime","Verify Mode","Machine","formattedDate"
205086,205086,"28/04/2024 7:53 AM",FP/PW/RF/FACE,1,"28/04/2024 07:53:00"
206549,206549,"28/04/2024 7:55 AM",FP/PW/RF/FACE,1,"28/04/2024 07:55:00"
198873,198873,"28/04/2024 7:55 AM",FP/PW/RF/FACE,1,"28/04/2024 07:55:00"
205087,205087,"28/04/2024 7:55 AM",FP/PW/RF/FACE,1,"28/04/2024 07:55:00"
202917,202917,"28/04/2024 7:55 AM",FP/PW/RF/FACE,1,"28/04/2024 07:55:00"
202918,202918,"28/04/2024 7:55 AM",FP/PW/RF/FACE,1,"28/04/2024 07:55:00"
125679,125679,"28/04/2024 7:55 AM",FP/PW/RF/FACE,1,"28/04/2024 07:55:00"
205883,205883,"28/04/2024 7:56 AM",FP/PW/RF/FACE,1,"28/04/2024 07:56:00"
206640,206640,"28/04/2024 7:56 AM",FP/PW/RF/FACE,1,"28/04/2024 07:56:00"
10190,10190,"28/04/2024 7:58 AM",FP/PW/RF/FACE,1,"28/04/2024 07:58:00"
206598,206598,"28/04/2024 8:00 AM",FP/PW/RF/FACE,1,"28/04/2024 08:00:00"
202910,202910,"28/04/2024 8:00 AM",FP/PW/RF/FACE,1,"28/04/2024 08:00:00"
206550,206550,"28/04/2024 8:00 AM",FP/PW/RF/FACE,1,"28/04/2024 08:00:00"
100208,100208,"28/04/2024 8:02 AM",FP/PW/RF/FACE,1,"28/04/2024 08:02:00"
185266,185266,"28/04/2024 8:02 AM",FP/PW/RF/FACE,1,"28/04/2024 08:02:00"
140760,140760,"28/04/2024 8:02 AM",FP/PW/RF/FACE,1,"28/04/2024 08:02:00"
